title,page
Coagula,159
Schädeldenken,159
Osterqualm,159
Kaimauer-Rast,160
Erhört,161
"Schaufäden, Sinnfäden",161
Ein Dröhnen,162
Irrennäpfe,162
Lichtenbergs zwölf,163
Give the Word,163
Vom Anblick der Amseln,164
"Große, glühende Wölbung",166
Schieferäugige,166
Schlickende,167
"Du, das",167
Der mit Himmeln geheizte,168
"Dunstbänder-, Spruchbänder-Aufstand",168
Ruh aus in deinen Wunden,169
Einmal,170
Augenblicke,171
"Frankfurt, September",171
Gezinkt der Zufall,172
Wer herrscht?,172
Die Spur eines Bisses,173
In der ewigen Teufe,173
Sichtbar,173
Umwegkarten,173
Sackleinen-Gugel,174
Spasmen,175
Deine Augen im Arm,175
Hendaye,176
"Pau, nachts",176
"Pau, später",176
Der Hengst,177
Die Unze Wahrheit,177
In den Geräuschen,177
"Lyon, Les Archers",178
Die Köpfe,178
Wo bin ich,179
Die längst Entdeckten,179
Alle deine Siegel erbrochen? Nie.,180
Schlafbrocken,181
Die Wahrheit,181
Aus den nahen,181
Ausgeschlüpfte,182
Ewigkeiten,182
Der puppige Steinbrech,182
Die zwischenein-,183
Der geglückte,183
Auf überregneter Fährte,183
Weißgeräusche,184
Die teuflischen,184
Die Dunkel-Impflinge,185
Die zweite,185
Das ausgeschachtete Herz,186
Die fleißigen,186
Die kollidierenden,187
Eingehimmelt,187
"Wenn ich nicht weiß, nicht weiß",187
Eingewohnt-entwohnt,188
Riesiges,188
Gewieherte Tumbagebete,189
Die Ewigkeiten tingeln,189
Müllschlucker-Chöre,190
Entteufelter,191
Hüllen,191
Die Liebe,191
Du warst,191
Zur Rechten,192
Die abgewrackten Tabus,192
Wutpilger-Streifzüge,192
Stille,193
Die Eine,193
Bei Glühund Mühwein,193
Schief,194
Die herzschriftgekrümelte,194
Unverwahrt,194
Das unbedingte Geläut,195
Die Ewigkeit,195
Spät,195
Die Sämlinge,196
Die Hügelzeilen entlang,196
Komm,196
Entschlackt,197
Seelenblind,197
Anrainerin,197
Mövenküken,198
Irisch,199
Die Stricke,199
Tau,199
Üppige Durchsage,199
Ausgerollt,200
Ölig,200
Ihr mit dem,201
Aus Engelsmaterie,201
Die freigeblasene Leuchtsaat,202
Kleide die Worthöhlen aus,202
Die Hochwelt,202
Die brabbelnden,203
...auch keinerlei,203
"Nah, im Aortenbogen",203
Wirf das Sonnenjahr,204
Weil du den Notscherben fandst,204
Es ist gekommen die Zeit,204
"Lippen, Schwellgewebe",205
"Mächte, Gewalten",206
Tagbewurf,206
Redewände,206
Verwaist,206
Beider,207
Fortgewälzter,207
Als Farben,207
Die Rauchschwalbe,207
Weiß,208
Unbedeckte,208
Der Schweigestoß,208
Haut Mal,209
Das taubeneigroße Gewächs,209
Angewintertes,210
Draußen,210
Wer gab die Runde aus?,210
Heddergemüt,211
Kein Name,211
Denk dir,211
"Hörreste, Sehreste",213
Ihn ritt die Nacht,214
Muschelhaufen,214
Mit der Aschenkelle geschöpft,215
Mit Mikrolithen,215
In die Nacht gegangen,216
Wir lagen,216
Tretminen,216
Wer schlug sich zu dir?,216
Abglanzbeladen,217
Freigegeben,217
Bakensammler,217
Aus Verlornem,218
Was uns,218
Einmal,219
Beilschwärme,219
Vorgewußt,219
"Bei Brancusi, zu zweit",219
Wo ich,219
Seit langem,220
Todtnauberg,220
Sink,221
Jetzt,221
Einem Bruder in Asien,222
Angerempelt,222
Wie du,222
Highgate,222
Blitzgeschreckt,223
Wurfscheibe,224
Klopf,224
Die entsprungenen,224
In den Dunkelschlägen,224
Streubesitz,224
Der von den unbeschriebenen,225
Schneid die Gebetshand,225
Was es an Sternen,226
Ich kann dich noch sehn,226
Lauter,226
Im Leeren,226
Die lehmigen Opfergüsse,227
Das Wildherz,227
Die Ewigkeiten,228
Herzschall-Fibeln,228
Aneinander,228
Ein Extra-Schlag Nacht,229
Hinter frostgebänderten Käfern,229
Die Irin,229
Die mir hinterlassne,229
Verworfene,230
Fertigungshalle,230
In der Blasenkammer,231
Magnetische Bläue,231
Vorflut,231
Die Mantis,231
Kein Halbholz,232
Schwimmhäute,232
Anredsam,232
Oranienstraße,233
Brunnenartig,233
Mit Traumantrieb,234
Für den Lerchenschatten,234
Der durchschnittene,235
Fahlstimmig,235
Schalltotes Schwestergehäus,235
Wetterfühlige Hand,236
Im Zeitwinkel schwört,236
Auch mich,236
Die rückwärtsgesprochenen,237
Allmählich clowngesichtig,237
Sperrtonnensprache,237
Unter der Flut,238
Wahngänger-Augen,240
Sperriges Morgen,240
Merkblätter-Schmerz,241
Streu Ocker,241
Schwanengefahr,241
Schaltjahrhunderte,242
Quellpunkte,242
Treckschutenzeit,243
Du sei wie du,243
Wirk nicht voraus,243
"Ungewaschen, unbemalt",249
Du liegst,249
Lila Luft,250
Brunnengräber,250
Das angebrochene Jahr,250
Unlesbarkeit,251
Huriges Sonst,251
Was näht,251
"Ich höre, die Axt hat geblüht",253
Mit der Stimme der Feldmaus,253
In Echsen,253
Schneepart,253
Die nachzustotternde Welt,255
Du mit der Finsterzwille,255
Eingejännert,255
Schludere,255
Stückgut,256
Von querab,256
Holzgesichtiger,256
Largo,257
Zur Nachtordnung,257
Mit den Sackgassen,258
Etwas wie Nacht,258
Warum dieses jähe Zuhause,259
Warum aus dem Ungeschöpften,259
Mapesbury Road,260
Der überkübelte Zuruf,260
Hervorgedunkelt,260
Mit dir Docke,261
Auch der Runige,261
"Deinem, auch deinem",262
Mauerspruch,262
Für Eric,263
Wer pflügt nichts um?,263
Levkojen,263
Du durchklafterst,264
Für Eric,264
Dein Blondschatten,265
Die Abgründe streunen,265
Dein Mähnen-Echo,265
Das Im-Ohrgerät,266
Der halbzerfressene,266
Ein Blatt,266
Playtime,266
Aus der Vergängnis,267
Offene Glottis,267
Aus dem Moorboden,268
Hochmoor,268
Erzflitter,269
Einkanter,269
Mit Rebmessern,269
Lößpuppen,270
Stahlschüssiger Sehstein,271
